ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1,Peptidoglycan synthase FtsI,ftsI,1574687,L42023,P45059,FTSI_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
4,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY; 5MHL; 5MHM; 5MHN; 5MHO,F13A1,F13A1,HGNC:3531,Humans,DB11300; DB11311; DB11571; DB13151
5,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS; 5TP6; 5XN3; 6JWM; 6JWN; 6KEY,NOS2,NOS2A,HGNC:7873,Humans,DB08814; DB11327; DB11672
8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,NNT,NNT,HGNC:7863,Humans,DB09092
11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,5GRE; 5GRF; 5GRH; 5GRI; 5GRL; 5YVT; 6KDE; 6KDF; 6KDY; 6KE3; 6L57; 6L59; 7CE3; 8GRB; 8GRD; 8GRG; 8GRH; 8GRU; 8GS5,IDH3A,IDH3A,HGNC:5384,Humans,DB09092; DB13874; DB17097
12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,7WLI; 7WLJ; 7WLK; 7WLL,CACNA1I,CACNA1I,HGNC:1396,Humans,DB00381; DB00568; DB00617; DB00909; DB04841
13,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,5N2S; 5UEN; 6D9H; 7LD3; 7LD4,ADORA1,ADORA1,HGNC:262,Humans,DB00193; DB00201; DB00277; DB00640; DB00651; DB01223; DB01303; DB04932; DB07776
14,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY; 4YC8; 4ZOG; 5DC0; 5DC4; 5DC9; 5HU9; 5MO4; 5NP2; 5OAZ; 6AMV; 6AMW; 6BL8; 6NPE; 6NPU; 6NPV; 6XR6; 6XR7; 6XRG; 7CC2; 7DT2; 7N9G; 7PVQ; 7PVR; 7PVS; 7PVV; 7PW2; 7W7X; 7W7Y; 8H7F; 8H7H; 8SSN,ABL1,ABL1,HGNC:76,Humans,DB00619; DB01254; DB04868; DB06616; DB06626; DB08896; DB08901; DB12597
15,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,1F2Q; 1F6A; 1J86; 1J87; 1J88; 1J89; 1RPQ; 2Y7Q; 7SHT; 8C1B; 8C1C; 8Z0T; 9EQ3; 9EQ4,FCER1A,FCER1A,HGNC:3609,Humans,DB00895
16,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6; 4XZU; 5K8D; 6MF0; 6MF2; 7K66; 7KBT; 7KWO; 8G6I; 8TY1; 9D5D,F8,F8,HGNC:3546,Humans,DB00055; DB00100; DB11300; DB11312; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
17,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,6Y3C,PTGS1,PTGS1,HGNC:9604,Humans,DB00159; DB00233; DB00244; DB00316; DB00465; DB00573; DB00586; DB00788; DB00795; DB00812; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01014; DB01050; DB01283; DB01399; DB01401; DB01435; DB01600; DB02266; DB03756; DB04817; DB06725; DB06736; DB06802; DB08814; DB08981; DB09084; DB09212; DB09216; DB11071; DB11079; DB11085; DB11201; DB11323; DB11672; DB13346; DB13783; DB14086
19,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,1EG0; 1M5G; 2YKR; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00256; DB00595; DB01017; DB12329
20,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,7CKW; 7CKX; 7CKY; 7CKZ; 7CRH; 7F0T; 7F1O; 7F1Z; 7F23; 7F24; 7JOZ; 7JV5; 7JVP; 7JVQ; 7LJC; 7LJD; 7X2C; 7X2D; 7X2F; 8IRR; 8JXR; 8JXS,DRD1,DRD1,HGNC:3020,Humans,DB00353; DB00477; DB00508; DB00623; DB00679; DB00800; DB00850; DB00875; DB00988; DB01186; DB01235; DB01239; DB01608; DB01621; DB01623; DB01624; DB11160
21,Thymidylate synthase,TMP1,7537304,J04230,P12461,TYSY_CANAL,,,,,Yeast,DB00293; DB00322; DB00432; DB00537; DB00544; DB00642; DB01099; DB01101
23,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,4BSJ; 4BSK,FLT4,FLT4,HGNC:3767,Humans,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB11679; DB11800
24,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,6BQN; 6WTH,SCNN1B,SCNN1B,HGNC:10600,Humans,DB00384; DB00594
25,Collagen alpha-1(I) chain,COL1A1,1418928,Z74615,P02452,CO1A1_HUMAN,1Q7D; 2LLP; 3EJH; 3GXE; 5CTD; 5CTI; 5CVA; 5CVB; 5K31; 5OU8; 5OU9; 7E7B; 7E7D,COL1A1,COL1A1,HGNC:2197,Humans,DB00048; DB12872; DB13133
26,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,Humans,DB00309; DB01229; DB01248; DB06772; DB08871
27,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197,X99726,P56181,NDUV3_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFV3,NDUFV3,HGNC:7719,Humans,DB09270
29,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,1FLT; 1QSV; 1QSZ; 1QTY; 1RV6; 2XAC; 3HNG; 4CKV; 4CL7; 5ABD; 5EX3; 5T89,FLT1,FLT1,HGNC:3763,Humans,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB10770; DB11679; DB11800
30,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,7CCS; 7EPZ; 7P9U; 7P9V,SLC7A11,SLC7A11,HGNC:11059,Humans,DB00740; DB06151
33,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3W11; 3W12; 3W13; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 4ZXB; 5E1S; 5HHW; 5J3H; 5KQV; 5U1M; 6HN4; 6HN5; 6PXV; 6PXW; 6SOF; 6VEP; 6VEQ; 7BW7; 7BW8; 7BWA; 7KD6; 7MQO; 7MQR; 7MQS; 7PG0; 7PG2; 7PG3; 7PG4; 7PHT; 7QID; 7S0Q; 7S8V; 7U6D; 7U6E; 7YQ3; 7YQ4; 7YQ5; 7YQ6; 8DWN; 8GUY; 8U4B; 8U4C; 8U4E; 8VJB; 8VJC,INSR,INSR,HGNC:6091,Humans,DB00030; DB00046; DB00047; DB00071; DB01306; DB01307; DB01309; DB09129; DB09456; DB09564; DB16693
9054,Probable arabinosyltransferase A,embA,,,P9WNL9,EMBA_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
36,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL; 6NTC; 6NTD; 6PTS; 6PTW; 6VJJ; 6XGU; 6XGV; 6XHA; 6XHB; 6XI7; 7JHP; 7Z37; 7Z38; 8A68; 8A6F; 8A6H; 8ATR; 8ATS; 8AV0; 8CHF; 8CPD; 8EPW; 8GAE; 8GFT; 8JOF; 8JOG; 8T74; 8T75; 8U1L; 9AXA; 9AXC; 9AY7; 9AYA,RAF1,RAF1,HGNC:9829,Humans,DB00398; DB08896; DB08912; DB11718; DB15266
41,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,1CZS; 1CZT; 1CZV; 3P6Z; 3P70; 3S9C; 7KVE; 7KVF; 7KXY; 7TPP; 8FDG; 8TN9; 9CTH,F5,F5,HGNC:3542,Humans,DB00055; DB11300; DB11312; DB11571; DB11572; DB13149; DB13151
42,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH; 8WR2,PDXK,PDXK,HGNC:8819,Humans,DB00165
43,Endothelin receptor type B,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,5GLH; 5GLI; 5X93; 5XPR; 6IGK; 6IGL; 6LRY; 8HBD; 8HCX; 8IY5; 8IY6; 8XGR; 8XVE; 8XVH,EDNRB,EDNRB,HGNC:3180,Humans,DB00559; DB15059
45,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,2CSA; 8E9W; 8E9Y; 8E9Z; 8EA0,CHRM3,CHRM3,HGNC:1952,Humans,DB00185; DB00332; DB00383; DB00387; DB00496; DB00517; DB00572; DB00725; DB00747; DB00986; DB01019; DB01036; DB01062; DB01085; DB01231; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09300; DB11181; DB11315; DB12278; DB13262; DB13720; DB15357; DB19325
46,Pyruvate kinase PKLR,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,2VGB; 2VGF; 2VGG; 2VGI; 4IMA; 4IP7; 5SC8; 5SC9; 5SCA; 5SCB; 5SCC; 5SCD; 5SCE; 5SCF; 5SCG; 5SCH; 5SCI; 5SCJ; 5SCK; 5SCL; 5SDT; 6NN4; 6NN5; 6NN7; 6NN8; 7FRV; 7FRW; 7FRX; 7FRY; 7FRZ; 7FS0; 7FS1; 7FS2; 7FS3; 7FS4; 7FS5; 7FS6; 7FS7; 7FS8; 7FS9; 7FSA; 7FSB; 7FSC; 7FSD; 7QDN; 7QZU; 8TBS; 8TBT; 8TBU; 8XFD,PKLR,PKLR,HGNC:9020,Humans,DB16236
47,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,6M23; 7D8Z,SLC12A5,SLC12A5,HGNC:13818,Humans,DB00887
48,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,1A2C; 1A3B; 1A3E; 1A46; 1A4W; 1A5G; 1A61; 1ABI; 1ABJ; 1AD8; 1AE8; 1AFE; 1AHT; 1AI8; 1AIX; 1AWF; 1AWH; 1AY6; 1B5G; 1B7X; 1BA8; 1BB0; 1BCU; 1BHX; 1BMM; 1BMN; 1BTH; 1C1U; 1C1V; 1C1W; 1C4U; 1C4V; 1C4Y; 1C5L; 1C5N; 1C5O; 1CA8; 1D3D; 1D3P; 1D3Q; 1D3T; 1D4P; 1D6W; 1D9I; 1DE7; 1DIT; 1DM4; 1DOJ; 1DWB; 1DWC; 1DWD; 1DWE; 1DX5; 1E0F; 1EB1; 1EOJ; 1EOL; 1FPC; 1FPH; 1G30; 1G32; 1G37; 1GHV; 1GHW; 1GHX; 1GHY; 1GJ4; 1GJ5; 1H8D; 1H8I; 1HAG; 1HAH; 1HAI; 1HAO; 1HAP; 1HBT; 1HDT; 1HGT; 1HLT; 1HUT; 1HXE; 1HXF; 1IHS; 1IHT; 1JMO; 1JOU; 1JWT; 1K21; 1K22; 1KTS; 1KTT; 1LHC; 1LHD; 1LHE; 1LHF; 1LHG; 1MH0; 1MU6; 1MU8; 1MUE; 1NM6; 1NO9; 1NRN; 1NRO; 1NRP; 1NRQ; 1NRR; 1NRS; 1NT1; 1NU7; 1NU9; 1NY2; 1NZQ; 1O0D; 1O2G; 1O5G; 1OOK; 1OYT; 1P8V; 1PPB; 1QBV; 1QHR; 1QJ1; 1QJ6; 1QJ7; 1QUR; 1RD3; 1RIW; 1SB1; 1SFQ; 1SG8; 1SGI; 1SHH; 1SL3; 1SR5; 1T4U; 1T4V; 1TA2; 1TA6; 1TB6; 1TBZ; 1THP; 1THR; 1THS; 1TMB; 1TMT; 1TMU; 1TOM; 1TQ0; 1TQ7; 1TWX; 1UMA; 1UVS; 1VR1; 1VZQ; 1W7G; 1WAY; 1WBG; 1XM1; 1XMN; 1YPE; 1YPG; 1YPJ; 1YPK; 1YPL; 1YPM; 1Z71; 1Z8I; 1Z8J; 1ZGI; 1ZGV; 1ZRB; 2A0Q; 2A2X; 2A45; 2AFQ; 2ANK; 2ANM; 2B5T; 2BDY; 2BVR; 2BVS; 2BVX; 2BXT; 2BXU; 2C8W; 2C8X; 2C8Y; 2C8Z; 2C90; 2C93; 2CF8; 2CF9; 2CN0; 2FEQ; 2FES; 2GDE; 2GP9; 2H9T; 2HGT; 2HNT; 2HPP; 2HPQ; 2HWL; 2JH0; 2JH5; 2JH6; 2OD3; 2PGB; 2PGQ; 2PKS; 2PW8; 2R2M; 2THF; 2UUF; 2UUJ; 2UUK; 2V3H; 2V3O; 2ZC9; 2ZDA; 2ZDV; 2ZF0; 2ZFF; 2ZFP; 2ZFQ; 2ZFR; 2ZG0; 2ZGB; 2ZGX; 2ZHE; 2ZHF; 2ZHQ; 2ZHW; 2ZI2; 2ZIQ; 2ZNK; 2ZO3; 3B23; 3B9F; 3BEF; 3BEI; 3BF6; 3BIU; 3BIV; 3BV9; 3C1K; 3C27; 3D49; 3DA9; 3DD2; 3DHK; 3DT0; 3DUX; 3E6P; 3EE0; 3EGK; 3EQ0; 3F68; 3GIC; 3GIS; 3HAT; 3HKJ; 3HTC; 3JZ1; 3JZ2; 3K65; 3LDX; 3LU9; 3NXP; 3P17; 3P6Z; 3P70; 3PMH; 3PO1; 3QDZ; 3QGN; 3QLP; 3QTO; 3QTV; 3QWC; 3QX5; 3R3G; 3RLW; 3RLY; 3RM0; 3RM2; 3RML; 3RMM; 3RMN; 3RMO; 3S7H; 3S7K; 3SHA; 3SHC; 3SI3; 3SI4; 3SQE; 3SQH; 3SV2; 3T5F; 3TU7; 3U69; 3U8O; 3U8R; 3U8T; 3U98; 3U9A; 3UTU; 3UWJ; 3VXE; 3VXF; 4AX9; 4AYV; 4AYY; 4AZ2; 4BAH; 4BAK; 4BAM; 4BAN; 4BAO; 4BAQ; 4BOH; 4CH2; 4CH8; 4DIH; 4DII; 4DT7; 4DY7; 4E05; 4E06; 4E7R; 4H6S; 4H6T; 4HFP; 4HTC; 4HZH; 4I7Y; 4LOY; 4LXB; 4LZ1; 4LZ4; 4MLF; 4NZQ; 4O03; 4RKJ; 4RKO; 4RN6; 4THN; 4UD9; 4UDW; 4UE7; 4UEH; 4UFD; 4UFE; 4UFF; 4UFG; 4YES; 5A2M; 5AF9; 5AFY; 5AFZ; 5AHG; 5CMX; 5DO4; 5E8E; 5EDK; 5EDM; 5EW1; 5EW2; 5GDS; 5GIM; 5JDU; 5JFD; 5JZY; 5L6N; 5MJT; 5MLS; 5MM6; 5NHU; 5TO3; 5Z5W; 5Z5X; 6BJR; 6C2W; 6EO6; 6EO7; 6EO8; 6EO9; 6V5T; 7KME; 7TPP; 8BWW; 8KME; 8UF7; 9CTH,F2,F2,HGNC:3535,Humans,DB00001; DB00006; DB00114; DB00278; DB01125; DB04898; DB05777; DB06695; DB09109; DB09228; DB11166; DB13151; DB14726; DB14738
49,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,7Q5T,FCER1G,FCER1G,HGNC:3611,Humans,DB00895
50,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,1E51; 1PV8; 5HMS; 5HNR,ALAD,ALAD,HGNC:395,Humans,DB00855
51,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,,HSD3B1,HSD3B1,HGNC:5217,Humans,DB01108
55,Glycine receptor subunit beta,GLRB,992687,U33267,P48167,GLRB_HUMAN,5BKF; 5BKG; 7KUY; 7L31; 8DN2; 8DN3; 8DN4; 8DN5,GLRB,GLRB,HGNC:4329,Humans,DB01956
57,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,,,,,Influenza A virus (strain A/Bangkok/1/1979 H3N2),DB00558; DB06614
58,Matrix metalloproteinase-9,MMP9,177205,J05070,P14780,MMP9_HUMAN,1GKC; 1GKD; 1ITV; 1L6J; 2OVX; 2OVZ; 2OW0; 2OW1; 2OW2; 4H1Q; 4H2E; 4H3X; 4H82; 4HMA; 4JIJ; 4JQG; 4WZV; 4XCT; 5CUH; 5I12; 5TH6; 5TH9; 5UE3; 5UE4; 6ESM; 8K5V; 8K5W; 8K5X; 8K5Y,MMP9,MMP9,HGNC:7176,Humans,DB11672
59,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,,HSD3B2,HSD3B2,HGNC:5218,Humans,DB01108
61,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,1LVQ; 1LVR; 2B0Y; 2KOE; 2MZ2; 2MZ3; 2MZA; 5TGZ; 5U09; 5XR8; 5XRA; 6KPG; 6KQI; 6N4B; 7FEE; 7V3Z; 7WV9; 8GAG; 8GHV; 8IKG; 8IKH; 8K8J; 8WRZ; 8WU1; 9ERX,CNR1,CNR1,HGNC:2159,Humans,DB00470; DB00486; DB01083; DB06155; DB09061
62,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,4YAY; 4ZUD; 6DO1; 6OS0; 6OS1; 6OS2,AGTR1,AGTR1,HGNC:336,Humans,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB08822; DB12548
64,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,,PTGER1,PTGER1,HGNC:9593,Humans,DB00429; DB00770; DB00905; DB00917; DB00929; DB01088; DB12789
66,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,2OSL; 3BKY; 3PP4; 6VJA; 6Y90; 6Y92; 6Y97; 6Y9A,MS4A1,MS4A1,HGNC:7315,Humans,DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11850; DB11988; DB15434; DB16371; DB16672
67,Nitric oxide synthase 1,NOS1,642526,U17327,P29475,NOS1_HUMAN,4D1N; 4UCH; 4UH5; 4UH6; 4V3U; 5ADF; 5ADG; 5ADI; 5FVU; 5FVV; 5FVW; 5FVX; 5UO1; 5UO2; 5UO3; 5UO4; 5UO5; 5UO6; 5UO7; 5VUV; 5VUW; 5VUX; 5VUY; 5VUZ; 5VV0; 5VV1; 5VV2; 5VV3; 5VV4; 5VV5; 6AUY; 6AUZ; 6AV0; 6AV1; 6AV2; 6AV3; 6AV4; 6AV5; 6CIC; 6CID; 6NG1; 6NG2; 6NG4; 6NG5; 6NG6; 6NG7; 6NG8; 6NGA; 6NGB; 6NGC; 6NGD; 6NGE; 6NGF; 6NGH; 6NGI; 6NHB; 6NHC; 6PNA; 6PNB; 6PNC; 6PND; 6PNE; 6PNF; 6PNG; 6PNH; 6PO5; 6PO7; 6PO8; 6PO9; 6POA; 6POB; 6POC; 6POT; 7TS1; 7TS2; 7TS3; 7TS4; 7TS5; 7TS6; 7TS7; 7TS8; 7UAM; 7US7; 7US8; 8BI8; 8BI9; 8FGF; 8FGG; 8FGH; 8FGI; 8FGJ; 8FGK; 8FGL; 8FGM; 8UFP; 8UFQ,NOS1,NOS1,HGNC:7872,Humans,DB01221; DB03147; DB09241
68,L-lactate dehydrogenase B chain,LDHB,1200083,X13794,P07195,LDHB_HUMAN,1I0Z; 1T2F; 7DBJ; 7DBK,LDHB,LDHB,HGNC:6541,Humans,DB09118
69,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918,D90228,P24752,THIL_HUMAN,2F2S; 2IB7; 2IB8; 2IB9; 2IBU; 2IBW; 2IBY,ACAT1,ACAT1,HGNC:93,Humans,DB00795; DB04812
70,Group 10 secretory phospholipase A2,PLA2G10,2289237,U95301,O15496,PA2GX_HUMAN,1LE6; 1LE7; 4UY1; 5G3M; 5OW8; 5OWC; 6G5J,PLA2G10,PLA2G10,HGNC:9029,Humans,DB13893; DB13894
71,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,1I7G; 1K7L; 1KKQ; 2NPA; 2P54; 2REW; 2ZNN; 3ET1; 3FEI; 3G8I; 3KDT; 3KDU; 3SP6; 3VI8; 4BCR; 4CI4; 5AZT; 5HYK; 6KAX; 6KAY; 6KAZ; 6KB0; 6KB1; 6KB2; 6KB3; 6KB4; 6KB5; 6KB6; 6KB7; 6KB8; 6KB9; 6KBA; 6KXX; 6KXY; 6KYP; 6L36; 6L37; 6L38; 6L96; 6LX4; 6LX5; 6LX6; 6LX7; 6LX8; 6LX9; 6LXA; 6LXB; 6LXC; 7BPY; 7BPZ; 7BQ0; 7BQ1; 7BQ2; 7BQ3; 7BQ4; 7C6Q; 7E5F; 7E5G; 7E5H; 7E5I; 8HUK; 8HUN; 8HUQ,PPARA,PPARA,HGNC:9232,Humans,DB00636; DB01039; DB01241; DB01393; DB03756; DB05187; DB09064; DB09422; DB13873
75,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,1A22; 1AXI; 1HWG; 1HWH; 1KF9; 2AEW; 3HHR; 5OEK; 5OHD; 6I5J; 6I5N,GHR,GHR,HGNC:4263,Humans,DB00052; DB00082; DB09098; DB14960; DB15093; DB16220
77,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,1BZY; 1D6N; 1HMP; 1Z7G; 2VFA; 3GEP; 3GGC; 3GGJ; 4IJQ; 4KN6; 4RAB; 4RAC; 4RAD; 4RAN; 4RAO; 4RAQ; 5BRN; 5BSK; 5HIA; 5W8V; 6BNJ; 7SAN; 8TPY,HPRT1,HPRT1,HGNC:5157,Humans,DB01033
78,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,1H9U; 1UHL; 5HJP; 5I4V; 5KYA; 5KYJ; 7A78,RXRB,RXRB,HGNC:10478,Humans,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB03756
80,Tryptophan 5-hydroxylase 2,TPH2,27497159,AY098914,Q8IWU9,TPH2_HUMAN,4V06; 7QRI; 7WIY,TPH2,TPH2,HGNC:20692,Humans,DB12095
82,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,3B6R; 3DRB; 3DRE; 6V9H; 7BF1; 7TUN,CKB,CKB,HGNC:1991,Humans,DB00148
83,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,6OBD,CD52,CD52,HGNC:1804,Humans,DB00087
84,5-hydroxytryptamine receptor 4,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,5EM9; 7XT8; 7XT9; 7XTA,HTR4,HTR4,HGNC:5299,Humans,DB00604; DB01079; DB01233; DB06480
85,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,2FFX; 2FG4; 2FG8; 3KXU; 4V6B; 5LG8; 6TR9; 6TS0; 6TS1; 6TSA; 6TSF; 6TSJ; 6WX6,FTL,FTL,HGNC:3999,Humans,DB00893; DB09517; DB13995
90,Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,1BYW; 1UJL; 2L0W; 2L1M; 2L4R; 2LE7; 2N7G; 4HP9; 4HQA; 5VA1; 5VA2; 5VA3; 6SYG; 8IO4; 9CHP; 9CHQ; 9CHR; 9CHS,KCNH2,KCNH2,HGNC:6251,Humans,DB00204; DB00252; DB00308; DB00489; DB01035; DB01100; DB01182; DB01218; DB04855
91,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,TOP1MT,TOP1MT,HGNC:29787,Humans,DB00762
92,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,5CXV; 6OIJ; 6WJC; 6ZFZ; 6ZG4; 6ZG9,CHRM1,CHRM1,HGNC:1950,Humans,DB00185; DB00219; DB00245; DB00332; DB00340; DB00354; DB00376; DB00383; DB00387; DB00392; DB00411; DB00424; DB00462; DB00508; DB00517; DB00572; DB00670; DB00725; DB00747; DB00771; DB00782; DB00804; DB00809; DB00810; DB00942; DB00979; DB00986; DB01036; DB01062; DB01085; DB01148; DB01231; DB01233; DB04843; DB08897; DB09089; DB09167; DB11181; DB12278; DB13262; DB13720; DB15357
94,Sodium-dependent multivitamin transporter,SLC5A6,5006439,AF116241,Q9Y289,SC5A6_HUMAN,,SLC5A6,SLC5A6,HGNC:11041,Humans,DB08872
95,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,2KI9; 5ZTY; 6KPC; 6KPF; 6PT0; 8GUQ; 8GUR; 8GUS; 8GUT,CNR2,CNR2,HGNC:2160,Humans,DB00470; DB00486; DB09061
99,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,,CYSLTR2,CYSLTR2,HGNC:18274,Humans,DB00716
