ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
4842,ATP-sensitive inward rectifier potassium channel 14,KCNJ14,,,Q9UNX9,KCJ14_HUMAN,,KCNJ14,,HGNC:6260,Humans,DB00867; DB11148
4841,ATP-sensitive inward rectifier potassium channel 15,KCNJ15,,,Q99712,KCJ15_HUMAN,,KCNJ15,,HGNC:6261,Humans,DB00867; DB11148
2441,ATP-sensitive inward rectifier potassium channel 8,KCNJ8,,D50312,Q15842,KCNJ8_HUMAN,,KCNJ8,KCNJ8,HGNC:6269,Humans,DB00867; DB11148
553,Calcium-activated potassium channel subunit alpha-1,KCNMA1,537439,U13913,Q12791,KCMA1_HUMAN,2K44; 3MT5; 3NAF; 6ND0; 6V22; 6V35; 6V38; 6V3G; 6V5A; 7YO3; 8GH9; 8GHF; 8GHG; 8Z3S,KCNMA1,KCNMA1,HGNC:6284,Humans,DB00867; DB09089
4422,Calcium-activated potassium channel subunit beta-1,KCNMB1,1326067,U25138,Q16558,KCMB1_HUMAN,,KCNMB1,,HGNC:6285,Humans,DB00867; DB09089
3196,Calcium-activated potassium channel subunit beta-2,KCNMB2,,AF099137,Q9Y691,KCMB2_HUMAN,1JO6,KCNMB2,KCNMB2,HGNC:6286,Humans,DB00867; DB09089
4423,Calcium-activated potassium channel subunit beta-3,KCNMB3,5880671,AF139471,Q9NPA1,KCMB3_HUMAN,,KCNMB3,,HGNC:6287,Humans,DB00867; DB09089
4424,Calcium-activated potassium channel subunit beta-4,KCNMB4,7799988,AF160967,Q86W47,KCMB4_HUMAN,5Y7L; 6V22; 6V35,KCNMB4,,HGNC:6289,Humans,DB00867; DB09089
415,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,2584866,AF000972,O15554,KCNN4_HUMAN,6CNM; 6CNN; 6CNO; 6D42,KCNN4,KCNN4,HGNC:6293,Humans,DB00867; DB09089
4425,Small conductance calcium-activated potassium channel protein 1,KCNN1,1575661,U69883,Q92952,KCNN1_HUMAN,,KCNN1,,HGNC:6290,Humans,DB00867; DB09089
4426,Small conductance calcium-activated potassium channel protein 2,KCNN2,10334701,AF239613,Q9H2S1,KCNN2_HUMAN,5V02; 5WBX; 5WC5; 6ALE,KCNN2,,HGNC:6291,Humans,DB00867; DB09089
4427,Small conductance calcium-activated potassium channel protein 3,KCNN3,3309531,AF031815,Q9UGI6,KCNN3_HUMAN,,KCNN3,,HGNC:6292,Humans,DB00867; DB09089
677,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1,4115829,AB022017,Q13131,AAPK1_HUMAN,4RED; 4RER; 4REW; 5EZV; 6C9F; 6C9G; 6C9H; 6C9J; 7JHG; 7JHH; 7JIJ; 7M74,PRKAA1,PRKAA1,HGNC:9376,Humans,DB00131
4843,5'-AMP-activated protein kinase catalytic subunit alpha-2,PRKAA2,,,P54646,AAPK2_HUMAN,2H6D; 2LTU; 2YZA; 3AQV; 4CFE; 4CFF; 4ZHX; 5EZV; 5ISO; 6B1U; 6B2E; 6BX6; 7MYJ; 8BIK,PRKAA2,,HGNC:9377,Humans,DB00131
254,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,2916800,AJ224515,Q9Y478,AAKB1_HUMAN,4CFE; 4CFF; 4ZHX; 5EZV; 5ISO; 6B1U; 6C9F; 6C9G; 6C9H; 6C9J; 7MYJ; 8BIK,PRKAB1,PRKAB1,HGNC:9378,Humans,DB00131
774,5'-AMP-activated protein kinase subunit beta-2,PRKAB2,2916802,AJ224538,O43741,AAKB2_HUMAN,2F15; 2V8Q; 2V92; 2V9J; 2Y8L; 2Y8Q; 2YA3; 4CFH; 4EAI; 4EAJ; 4RER; 4REW; 6B2E; 7JHG; 7JHH; 7JIJ; 7M74,PRKAB2,PRKAB2,HGNC:9379,Humans,DB00131
4844,5'-AMP-activated protein kinase subunit gamma-1,PRKAG1,,,P54619,AAKG1_HUMAN,2UV4; 2UV5; 2UV6; 2UV7; 4CFE; 4CFF; 4RER; 4REW; 4ZHX; 5EZV; 5ISO; 6B1U; 6B2E; 6C9F; 6C9G; 6C9H; 6C9J; 7JHG; 7JHH; 7JIJ; 7M74; 7MYJ; 8BIK,PRKAG1,,HGNC:9385,Humans,DB00131
4845,5'-AMP-activated protein kinase subunit gamma-2,PRKAG2,,,Q9UGJ0,AAKG2_HUMAN,,PRKAG2,,HGNC:9386,Humans,DB00131
4846,5'-AMP-activated protein kinase subunit gamma-3,PRKAG3,,,Q9UGI9,AAKG3_HUMAN,,PRKAG3,,HGNC:9387,Humans,DB00131
2198,Amine oxidase [flavin-containing] A,MAOA,187353,M68840,P21397,AOFA_HUMAN,2BXR; 2BXS; 2Z5X; 2Z5Y,MAOA,MAOA,HGNC:6833,Humans,DB00182; DB01168
2196,Amine oxidase [flavin-containing] B,MAOB,398415,S62734,P27338,AOFB_HUMAN,1GOS; 1OJ9; 1OJA; 1OJC; 1OJD; 1S2Q; 1S2Y; 1S3B; 1S3E; 2BK3; 2BK4; 2BK5; 2BYB; 2C64; 2C65; 2C66; 2C67; 2C70; 2C72; 2C73; 2C75; 2C76; 2V5Z; 2V60; 2V61; 2VRL; 2VRM; 2VZ2; 2XCG; 2XFN; 2XFO; 2XFP; 2XFQ; 2XFU; 3PO7; 3ZYX; 4A79; 4A7A; 4CRT; 5MRL; 6FVZ; 6FW0; 6FWC; 6RKB; 6RKP; 6RLE; 6YT2; 7B0V; 7B0Z; 7P4F; 7P4H; 7ZW3,MAOB,MAOB,HGNC:6834,Humans,DB00182; DB01168
4881,"Myosin light chain kinase 2, skeletal/cardiac muscle",MYLK2,,,Q9H1R3,MYLK2_HUMAN,2LV6; 3KF9,MYLK2,,HGNC:16243,Humans,DB04825
365,"Glutamate receptor ionotropic, NMDA 1",GRIN1,219920,D13515,Q05586,NMDZ1_HUMAN,2HQW; 2NR1; 3BYA; 5H8F; 5H8H; 5H8N; 5H8Q; 5I2K; 5I2N; 5KCJ; 5KDT; 5TP9; 5TPA; 6IRA; 6IRF; 6IRG; 6IRH; 7EOQ; 7EOR; 7EOS; 7EOT; 7EOU; 7EU7; 7EU8; 7YFF; 7YFL; 7YFM; 7YFO; 7YFR; 8E92; 8E93; 8E94; 8E96; 8E97; 8E98; 8E99; 8JIZ; 8JJ0; 8JJ1; 8JJ2; 8UUE,GRIN1,GRIN1,HGNC:4584,Humans,DB00193; DB00333; DB11823
